#metric_id,frequency_type,subject,measure,gdf_id,graph_id,discovery_ts
0300010087000000040000002D0000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8006,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690358
0300010087000000040000002D0000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8006,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690358
0300010087000000040000002D0000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8006,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690358
0300010087000000040000002E0000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8010,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690358
0300010087000000040000002E0000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8010,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690358
0300010087000000040000002E0000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8010,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690358
0300010087000000040000002F0000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8012,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690358
0300010087000000040000002F0000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8012,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690358
0300010087000000040000002F0000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8012,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690358
030001008700000004000000300000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8081,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690358
030001008700000004000000300000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8081,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690358
030001008700000004000000300000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8081,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690358
030001008700000004000000310000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8891,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690358
030001008700000004000000310000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8891,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690358
030001008700000004000000310000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8891,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690358
030001008700000004000000320000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8892,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690358
030001008700000004000000320000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8892,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690358
030001008700000004000000320000001800000002000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:0.0.0.0_8892,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Used (Pct),10613,3,1617690358
030001008700000004000000330000001800000000000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:[127.0.0.1]_8201,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Backlog,10613,1,1617690358
030001008700000004000000330000001800000001000000,2,customer:Default>application:Default>Tier:Cavisson>Server:NDAppliance>IPAddress:[127.0.0.1]_8201,MGType:Network Metrics>MGroup:TCP Listen Queue Stats>Metric:TCP Listen Queue Size,10613,2,1617690358
